CNPJ_Emissora,Codigo_Identificacao_Certificado,Companhia_Emissora,Tipo_Lastro,Detalhamento_Lastro,Numero_Emissao,Nome_Emissao,Data_Emissao,_tipo_certificado
02.773.542/0001-22,BRRBRACRA0C7,Opea Securtizadora,Créditos,CPR - Financeira,1.0,Sênior | 13ª Série da 1ª Emissão,2018-03-26,CRA
02.773.542/0001-22,BRRBRACRA0E3,Opea Securtizadora,Título de Dívida,Debênture,2.0,Sênior | 1ª Série da 2ª Emissão e Sênior | 2ª Série da 2ª Emissão,2019-03-15,CRA
02.773.542/0001-22,BRRBRACRA0F0,Opea Securtizadora,Título de Dívida,Debênture,2.0,Sênior | 1ª Série da 2ª Emissão e Sênior | 2ª Série da 2ª Emissão,2019-03-15,CRA
02.773.542/0001-22,BRRBRACRA0O2,Opea Securtizadora,Título de Dívida,Debênture,10.0,Sênior | 1ª Série da 10ª Emissão,2019-11-27,CRA
02.773.542/0001-22,BRRBRACRA0V7,Opea Securtizadora,Título de Dívida,Debênture,16.0,Sênior | 1ª Série da 16ª Emissão e Sênior | 2ª Série da 16ª Emissão,2021-07-15,CRA
02.773.542/0001-22,BRRBRACRA0X3,Opea Securtizadora,Título de Dívida,Debênture,15.0,Sênior | 1ª Série da 15ª Emissão,2021-06-15,CRA
02.773.542/0001-22,BRRBRACRA0Z8,Opea Securtizadora,Título de Dívida,Debênture,14.0,Sênior | 1ª Série da 14ª Emissão,2021-09-23,CRA
02.773.542/0001-22,BRRBRACRA132,Opea Securtizadora,Créditos,CPR - Financeira,18.0,Sênior | 1ª Série da 18ª Emissão,2021-12-22,CRA
02.773.542/0001-22,BRRBRACRA1A9,Opea Securtizadora,Créditos,CDCA,20.0,Sênior | 1ª Série da 20ª Emissão e Sênior | 2ª Série da 20ª Emissão,2021-12-21,CRA
02.773.542/0001-22,BRRBRACRA1C5,Opea Securtizadora,Título de Dívida,Debênture,30.0,Sênior | 1ª Série da 30ª Emissão,2022-02-18,CRA
02.773.542/0001-22,BRRBRACRA1D3,Opea Securtizadora,Créditos,CPR - Financeira,21.0,Sênior | 1ª Série da 21ª Emissão,2022-02-24,CRA
02.773.542/0001-22,BRRBRACRA1E1,Opea Securtizadora,Créditos,CPR - Financeira,32.0,Sênior | 1ª Série da 32ª Emissão,2022-02-24,CRA
02.773.542/0001-22,BRRBRACRA1F8,Opea Securtizadora,Créditos,CPR - Financeira,22.0,Sênior | 1ª Série da 22ª Emissão,2022-02-24,CRA
02.773.542/0001-22,BRRBRACRA1G6,Opea Securtizadora,Título de Dívida,Debênture,25.0,Sênior | 1ª Série da 25ª Emissão,2022-02-16,CRA
02.773.542/0001-22,BRRBRACRA1H4,Opea Securtizadora,Título de Dívida,Nota Comercial,28.0,Sênior | 1ª Série da 28ª Emissão,2022-03-23,CRA
02.773.542/0001-22,BRRBRACRA1I2,Opea Securtizadora,Título de Dívida,Debênture,24.0,Sênior | 1ª Série da 24ª Emissão e Sênior | 2ª Série da 24ª Emissão,2022-03-18,CRA
02.773.542/0001-22,BRRBRACRA1K8,Opea Securtizadora,Créditos,CPR - Financeira,35.0,Sênior | 1ª Série da 35ª Emissão e Sênior | 2ª Série da 35ª Emissão,2022-03-24,CRA
02.773.542/0001-22,BRRBRACRA1M4,Opea Securtizadora,Título de Dívida,Nota Comercial,37.0,Sênior | 1ª Série da 37ª Emissão e Sênior | 2ª Série da 37ª Emissão,2022-03-25,CRA
02.773.542/0001-22,BRRBRACRA1O0,Opea Securtizadora,Título de Dívida,Debênture,26.0,Sênior | 1ª Série da 26ª Emissão,2022-03-25,CRA
02.773.542/0001-22,BRRBRACRA1P7,Opea Securtizadora,Título de Dívida,Debênture,33.0,Sênior | 1ª Série da 33ª Emissão,2022-03-25,CRA
02.773.542/0001-22,BRRBRACRA1Q5,Opea Securtizadora,Título de Dívida,Debênture,34.0,Sênior | 1ª Série da 34ª Emissão,2022-03-25,CRA
02.773.542/0001-22,BRRBRACRA1R3,Opea Securtizadora,Título de Dívida,Debênture,38.0,Sênior | 1ª Série da 38ª Emissão,2022-03-25,CRA
02.773.542/0001-22,BRRBRACRA1S1,Opea Securtizadora,Título de Dívida,Debênture,39.0,Sênior | 1ª Série da 39ª Emissão,2022-03-25,CRA
02.773.542/0001-22,BRRBRACRA1T9,Opea Securtizadora,Título de Dívida,Debênture,31.0,Sênior | 1ª Série da 31ª Emissão,2022-04-05,CRA
02.773.542/0001-22,BRRBRACRA1U7,Opea Securtizadora,Créditos,CPR - Financeira,41.0,Sênior | 1ª Série da 41ª Emissão,2022-04-19,CRA
02.773.542/0001-22,BRRBRACRA1W3,Opea Securtizadora,Créditos,CPR - Financeira,36.0,Sênior | 1ª Série da 36ª Emissão,2022-04-15,CRA
02.773.542/0001-22,BRRBRACRA1X1,Opea Securtizadora,Créditos,CDCA,43.0,Sênior | 1ª Série da 43ª Emissão,2022-05-18,CRA
02.773.542/0001-22,BRRBRACRA1Y9,Opea Securtizadora,Créditos,CDCA,44.0,Sênior | 1ª Série da 44ª Emissão,2022-05-18,CRA
