CNPJ_Emissora,Codigo_Identificacao_Certificado,Companhia_Emissora,Tipo_Lastro,Detalhamento_Lastro,Numero_Emissao,Nome_Emissao,Data_Emissao,_tipo_certificado
02.105.040/0001-23,14G0412569,VIRGO II COMPANHIA DE SECURITIZACAO,Créditos,Promessa de Compra e Venda,2.0,DIR714,2014-07-21,CRI
02.105.040/0001-23,BRCBSCCRI008,VIRGO II COMPANHIA DE SECURITIZACAO,Créditos,Contrato de PPP,2.0,CAN1018,2018-10-22,CRI
02.105.040/0001-23,BRCBSCCRI0M2,VIRGO II COMPANHIA DE SECURITIZACAO,Créditos,Contrato de Compra e Venda,2.0,URB0310,2010-02-05,CRI
02.105.040/0001-23,BRCBSCCRI0P5,VIRGO II COMPANHIA DE SECURITIZACAO,Créditos,Contrato de Compra e Venda,2.0,URB0510,2010-05-05,CRI
02.105.040/0001-23,BRCBSCCRI0T7,VIRGO II COMPANHIA DE SECURITIZACAO,Créditos,Contrato de Compra e venda.,2.0,URB0610,2010-06-30,CRI
02.105.040/0001-23,BRCBSCCRI0X9,VIRGO II COMPANHIA DE SECURITIZACAO,Créditos,Contrato de Compra e Venda,2.0,DIR0509,2009-12-03,CRI
02.105.040/0001-23,BRCBSCCRI180,VIRGO II COMPANHIA DE SECURITIZACAO,Créditos,Contrato de Compra e Venda,2.0,URB0111,2011-01-31,CRI
02.105.040/0001-23,BRCBSCCRI1G2,VIRGO II COMPANHIA DE SECURITIZACAO,Créditos,Contrato de compra e venda,2.0,TRK811N,2011-08-15,CRI
02.105.040/0001-23,BRCBSCCRI1M0,VIRGO II COMPANHIA DE SECURITIZACAO,Créditos,Contrato de Financiamento,2.0,STD1211,2011-12-14,CRI
02.105.040/0001-23,BRCBSCCRI1Q1,VIRGO II COMPANHIA DE SECURITIZACAO,Título de Dívida,CCI,2.0,BVA0212,2012-02-13,CRI
02.105.040/0001-23,BRCBSCCRI1Z2,VIRGO II COMPANHIA DE SECURITIZACAO,Créditos,Contrato de Financiamento,2.0,BAN1212,2012-12-04,CRI
02.105.040/0001-23,BRCBSCCRI222,VIRGO II COMPANHIA DE SECURITIZACAO,Título de Dívida,CCB,2.0,CAM1212,2012-12-28,CRI
02.105.040/0001-23,BRCBSCCRI2H8,VIRGO II COMPANHIA DE SECURITIZACAO,Créditos,Contrato de Compra e Venda,2.0,MXM0313,2013-03-22,CRI
02.105.040/0001-23,BRCBSCCRI2O4,VIRGO II COMPANHIA DE SECURITIZACAO,Créditos,Contrato de Compra e Venda,2.0,WEL0713,2013-07-26,CRI
02.105.040/0001-23,BRCBSCCRI362,VIRGO II COMPANHIA DE SECURITIZACAO,Título de Dívida,CCB,2.0,PET0214,2014-02-26,CRI
02.105.040/0001-23,BRCBSCCRI370,VIRGO II COMPANHIA DE SECURITIZACAO,Título de Dívida,CCB,2.0,PET0314,2014-03-26,CRI
02.105.040/0001-23,BRCBSCCRI3B9,VIRGO II COMPANHIA DE SECURITIZACAO,Créditos,Contrato de Compra e Venda,2.0,PAT1214,2014-12-18,CRI
02.105.040/0001-23,BRCBSCCRI3F0,VIRGO II COMPANHIA DE SECURITIZACAO,Título de Dívida,CCB,2.0,AMB0215,2015-02-05,CRI
02.105.040/0001-23,BRCBSCCRI3J2,VIRGO II COMPANHIA DE SECURITIZACAO,Créditos,Contrato de Compra e Venda,2.0,LRZ0615,2015-06-22,CRI
02.105.040/0001-23,BRCBSCCRI3K0,VIRGO II COMPANHIA DE SECURITIZACAO,Créditos,aluguel,2.0,TOT0815,2015-08-01,CRI
02.105.040/0001-23,BRCBSCCRI3L8,VIRGO II COMPANHIA DE SECURITIZACAO,Créditos,Contrato de Compra e Venda,2.0,BRA915,2015-09-01,CRI
02.105.040/0001-23,BRCBSCCRI3N4,VIRGO II COMPANHIA DE SECURITIZACAO,Créditos,Contrato de Compra e Venda,2.0,REI0915,2015-09-14,CRI
02.105.040/0001-23,BRCBSCCRI3P9,VIRGO II COMPANHIA DE SECURITIZACAO,Créditos,Contrato de Financiamento,2.0,CEF0416,2016-04-19,CRI
02.105.040/0001-23,BRCBSCCRI3S3,VIRGO II COMPANHIA DE SECURITIZACAO,Créditos,Contrato de Financiamento,2.0,BRA0416,2016-04-22,CRI
02.105.040/0001-23,BRCBSCCRI3V7,VIRGO II COMPANHIA DE SECURITIZACAO,Créditos,Aluguel,2.0,FRI0616,2016-06-21,CRI
02.105.040/0001-23,BRCBSCCRI3Z8,VIRGO II COMPANHIA DE SECURITIZACAO,Créditos,Contrato de Financiamento,2.0,CEF1016,2016-10-21,CRI
02.105.040/0001-23,BRCBSCCRI420,VIRGO II COMPANHIA DE SECURITIZACAO,Créditos,Contrato de Financiamento,2.0,BRA1116,2016-10-21,CRI
02.105.040/0001-23,BRCBSCCRI4D3,VIRGO II COMPANHIA DE SECURITIZACAO,Créditos,Contrato de Compra e Venda,2.0,WTR1017,2017-10-23,CRI
02.105.040/0001-23,BRCBSCCRI4G6,VIRGO II COMPANHIA DE SECURITIZACAO,Créditos,Aluguel,2.0,HSI318B,2018-03-20,CRI
02.105.040/0001-23,BRCBSCCRI4H4,VIRGO II COMPANHIA DE SECURITIZACAO,Créditos,Aluguel,2.0,HSI318C,2018-03-20,CRI
02.105.040/0001-23,BRCBSCCRI4M4,VIRGO II COMPANHIA DE SECURITIZACAO,Título de Dívida,Debênture,2.0,SCA0519,2019-05-21,CRI
02.105.040/0001-23,BRCBSCCRI4N2,VIRGO II COMPANHIA DE SECURITIZACAO,Créditos,Aluguel,2.0,HSI0919,2019-09-19,CRI
02.105.040/0001-23,BRCBSCCRI4S1,VIRGO II COMPANHIA DE SECURITIZACAO,Créditos,Aluguel,2.0,ESTRUT NOVO PARALELA,2022-01-10,CRI
02.736.470/0001-43,BRNOOSCRI0A5,CONFIANZA SECURITIZADORA S.A.,Título de Dívida,Corporativo,4.0,4ª Emissão de CRI da CONFIANZA SECURITIZADORA S.A.,2024-09-06,CRI
02.773.542/0001-22,09H0003225,Opea Securtizadora,Créditos,Financiamento Imobiliário,1.0,Sênior | 1ª Série da 1ª Emissão e Subordinada | 2ª Série da 1ª Emissão,2009-08-10,CRI
02.773.542/0001-22,11F0042226,Opea Securtizadora,Créditos,Compra e Venda,4.0,Subordinada | 30ª Série da 4ª Emissão,2011-06-11,CRI
02.773.542/0001-22,11I0025628,Opea Securtizadora,Créditos,Financiamento Imobiliário,4.0,Sênior | 31ª Série da 4ª Emissão e Subordinada | 32ª Série da 4ª Emissão,2011-09-08,CRI
02.773.542/0001-22,12L0018386,Opea Securtizadora,Créditos,Financiamento Imobiliário,5.0,Sênior | 22ª Série da 5ª Emissão e Subordinada | 23ª Série da 5ª Emissão,2012-12-04,CRI
02.773.542/0001-22,13A0016692,Opea Securtizadora,Créditos,Locação / Arrendamento / Superfície,4.0,Sênior | 55ª Série da 4ª Emissão,2013-01-15,CRI
02.773.542/0001-22,13I0117184,Opea Securtizadora,Créditos,Financiamento Imobiliário,4.0,Sênior | 43ª Série da 4ª Emissão e Subordinada | 44ª Série da 4ª Emissão,2013-09-13,CRI
02.773.542/0001-22,13J0119962,Opea Securtizadora,Créditos,Financiamento Imobiliário,4.0,Sênior | 45ª Série da 4ª Emissão e Subordinada | 46ª Série da 4ª Emissão,2013-10-29,CRI
02.773.542/0001-22,14F0679871,Opea Securtizadora,Título de Dívida,Debênture,7.0,Sênior | 1ª Série da 7ª Emissão,2014-06-27,CRI
02.773.542/0001-22,14I0139153,Opea Securtizadora,Créditos,Financiamento Imobiliário,4.0,Sênior | 73ª Série da 4ª Emissão e Subordinada | 74ª Série da 4ª Emissão,2014-09-24,CRI
02.773.542/0001-22,15H0699075,Opea Securtizadora,Créditos,Financiamento Imobiliário,4.0,Sênior | 83ª Série da 4ª Emissão e Subordinada | 84ª Série da 4ª Emissão,2015-08-26,CRI
02.773.542/0001-22,15L0660708,Opea Securtizadora,Créditos,Compra e Venda,3.0,Sênior | 5ª Série da 3ª Emissão,2015-12-01,CRI
02.773.542/0001-22,16D0718054,Opea Securtizadora,Créditos,Financiamento Imobiliário,1.0,Sênior | 3ª Série da 1ª Emissão e Subordinada | 4ª Série da 1ª Emissão,2016-04-19,CRI
02.773.542/0001-22,16L0152390,Opea Securtizadora,Créditos,Compra e Venda,4.0,Subordinada | 99ª Série da 4ª Emissão,2016-12-13,CRI
02.773.542/0001-22,18C0804313,Opea Securtizadora,Créditos,Compra e Venda,4.0,Subordinada | 107ª Série da 4ª Emissão,2018-03-16,CRI
02.773.542/0001-22,19F0210606,Opea Securtizadora,Título de Dívida,Debênture,4.0,Sênior | 119ª Série da 4ª Emissão,2019-06-10,CRI
02.773.542/0001-22,19F0211868,Opea Securtizadora,Título de Dívida,Debênture,4.0,Sênior | 120ª Série da 4ª Emissão,2019-06-10,CRI
02.773.542/0001-22,19G0161450,Opea Securtizadora,Título de Dívida,Debênture,4.0,Sênior | 118ª Série da 4ª Emissão,2019-07-15,CRI
02.773.542/0001-22,19H0182182,Opea Securtizadora,Créditos,Compra e Venda,4.0,Sênior | 116ª Série da 4ª Emissão e Subordinada | 117ª Série da 4ª Emissão,2019-08-02,CRI
02.773.542/0001-22,19I0360674,Opea Securtizadora,Créditos,Locação / Arrendamento / Superfície,4.0,Sênior | 125ª Série da 4ª Emissão,2019-09-07,CRI
02.773.542/0001-22,19I0745122,Opea Securtizadora,Créditos,Locação / Arrendamento / Superfície,4.0,Sênior | 124ª Série da 4ª Emissão,2019-09-16,CRI
02.773.542/0001-22,19K1003755,Opea Securtizadora,Título de Dívida,Debênture,4.0,Sênior | 130ª Série da 4ª Emissão,2019-11-20,CRI
02.773.542/0001-22,19K1003755,Opea Securtizadora,Título de Dívida,Nota Comercial,4.0,Sênior | 130ª Série da 4ª Emissão e Sênior | 548ª Série da 4ª Emissão,2019-11-20,CRI
02.773.542/0001-22,19L0909256,Opea Securtizadora,Créditos,Locação / Arrendamento / Superfície,4.0,Sênior | 123ª Série da 4ª Emissão,2019-12-27,CRI
02.773.542/0001-22,208017201,Opea Securtizadora,Créditos,Locação / Arrendamento / Superfície,4.0,Sênior | 136ª Série da 4ª Emissão,2020-02-10,CRI
02.773.542/0001-22,20B0817042,Opea Securtizadora,Título de Dívida,Debênture,4.0,Sênior | 137ª Série da 4ª Emissão,2020-02-14,CRI
02.773.542/0001-22,20C0157849,Opea Securtizadora,Créditos,Locação / Arrendamento / Superfície,4.0,Sênior | 139ª Série da 4ª Emissão,2020-02-18,CRI
02.773.542/0001-22,20E0979858,Opea Securtizadora,Créditos,Locação / Arrendamento / Superfície,4.0,Sênior | 127ª Série da 4ª Emissão,2020-05-20,CRI
02.773.542/0001-22,20K0115319,Opea Securtizadora,Créditos,Locação / Arrendamento / Superfície,4.0,Sênior | 166ª Série da 4ª Emissão,2020-11-16,CRI
02.773.542/0001-22,20L0522095,Opea Securtizadora,Título de Dívida,Debênture,4.0,"Sênior | 162ª Série da 4ª Emissão, Sênior | 163ª Série da 4ª Emissão, Sênior | 164ª Série da 4ª Emissão e Subordinada | 165ª Série da 4ª Emissão",2020-12-03,CRI
02.773.542/0001-22,20L0610216,Opea Securtizadora,Créditos,Locação / Arrendamento / Superfície,4.0,Sênior | 153ª Série da 4ª Emissão e Subordinada | 154ª Série da 4ª Emissão,2020-12-03,CRI
02.773.542/0001-22,20L0653519,Opea Securtizadora,Créditos,Locação / Arrendamento / Superfície,4.0,Sênior | 169ª Série da 4ª Emissão,2020-12-18,CRI
02.773.542/0001-22,20L0673034,Opea Securtizadora,Título de Dívida,Debênture,4.0,Sênior | 171ª Série da 4ª Emissão,2020-12-18,CRI
02.773.542/0001-22,21A0677775,Opea Securtizadora,Título de Dívida,Debênture,4.0,Sênior | 172ª Série da 4ª Emissão,2021-01-26,CRI
02.773.542/0001-22,21D0695469,Opea Securtizadora,Créditos,CCB,1.0,Sênior | 333ª Série da 1ª Emissão,2021-04-16,CRI
02.773.542/0001-22,21F1151103,Opea Securtizadora,Créditos,Compra e Venda,1.0,Sênior | 341ª Série da 1ª Emissão,2021-06-16,CRI
02.773.542/0001-22,21G0685671,Opea Securtizadora,Créditos,CPR - Financeira,1.0,Sênior | 367ª Série da 1ª Emissão,2021-07-14,CRI
02.773.542/0001-22,21G0761891,Opea Securtizadora,Créditos,Financiamento Imobiliário,1.0,Sênior | 368ª Série da 1ª Emissão,2021-07-15,CRI
02.773.542/0001-22,21I0277499,Opea Securtizadora,Créditos,Locação / Arrendamento / Superfície,1.0,Sênior | 383ª Série da 1ª Emissão,2021-09-10,CRI
02.773.542/0001-22,22A0181986,Opea Securtizadora,Créditos,Compra e Venda,4.0,Sênior | 104ª Série da 4ª Emissão,2022-01-26,CRI
02.773.542/0001-22,22B0653652,Opea Securtizadora,Créditos,Locação / Arrendamento / Superfície,4.0,Sênior | 170ª Série da 4ª Emissão,2022-02-16,CRI
02.773.542/0001-22,22F0675402,Opea Securtizadora,Título de Dívida,Debênture,15.0,Sênior | 1ª Série da 15ª Emissão,2022-07-13,CRI
02.773.542/0001-22,22J0215470,Opea Securtizadora,Título de Dívida,Nota Comercial,60.0,Sênior | 1ª Série da 60ª Emissão,2022-10-07,CRI
02.773.542/0001-22,22K1048115,Opea Securtizadora,Título de Dívida,Debênture,66.0,"Sênior | 1ª Série da 66ª Emissão, Sênior | 2ª Série da 66ª Emissão, Sênior | 3ª Série da 66ª Emissão e Sênior | 4ª Série da 66ª Emissão",2022-11-16,CRI
02.773.542/0001-22,22L1215356,Opea Securtizadora,Título de Dívida,Nota Comercial,93.0,Sênior | 1ª Série da 93ª Emissão,2022-12-08,CRI
02.773.542/0001-22,22L1429186,Opea Securtizadora,Título de Dívida,Debênture,69.0,Sênior | 1ª Série da 69ª Emissão,2022-12-16,CRI
02.773.542/0001-22,22L1429186,Opea Securtizadora,Título de Dívida,Debênture,69.0,Sênior | 1ª Série da 69ª Emissão e Sênior | 2ª Série da 69ª Emissão,2022-12-16,CRI
02.773.542/0001-22,22L1429186,Opea Securtizadora,Título de Dívida,Debênture,69.0,"Sênior | 1ª Série da 69ª Emissão e Sênior | 2ª Série da 69ª Emissão,",2022-12-16,CRI
02.773.542/0001-22,22L1467751,Opea Securtizadora,Créditos,CCB,109.0,Sênior | 1ª Série da 109ª Emissão,2023-01-13,CRI
02.773.542/0001-22,22L1474446,Opea Securtizadora,Créditos,Compra e Venda,108.0,Sênior | 1ª Série da 108ª Emissão,2022-12-21,CRI
02.773.542/0001-22,23J1952372,Opea Securtizadora,Título de Dívida,Nota Comercial,217.0,Sênior | 1ª Série da 217ª Emissão,2023-10-25,CRI
02.773.542/0001-22,23J2233201,Opea Securtizadora,Créditos,Compra e Venda,220.0,Sênior | 1ª Série da 220ª Emissão,2023-10-31,CRI
02.773.542/0001-22,23K2261105,Opea Securtizadora,Título de Dívida,Nota Comercial,228.0,"Sênior | 1ª Série da 228ª Emissão, Sênior | 2ª Série da 228ª Emissão, Subordinada | 3ª Série da 228ª Emissão, Sênior | 4ª Série da 228ª Emissão, Sênior | 5ª Série da 228ª Emissão e Subordinada | 6ª Série da 228ª Emissão",2023-11-21,CRI
02.773.542/0001-22,23K2261105,Opea Securtizadora,Título de Dívida,Nota Comercial,228.0,"Sênior | 1ª Série da 228ª Emissão, Subordinada | 3ª Série da 228ª Emissão, Sênior | 4ª Série da 228ª Emissão e Subordinada | 6ª Série da 228ª Emissão",2023-11-21,CRI
02.773.542/0001-22,23K2261105,Opea Securtizadora,Título de Dívida,Nota Comercial,228.0,"Sênior | 1ª Série da 228ª Emissão, Sênior | 2ª Série da 228ª Emissão, Sênior | 4ª Série da 228ª Emissão e Subordinada | 6ª Série da 228ª Emissão",2023-11-21,CRI
02.773.542/0001-22,23L2043099,Opea Securtizadora,Título de Dívida,Debênture,236.0,"Sênior | 1ª Série da 236ª Emissão, Sênior | 2ª Série da 236ª Emissão e Sênior | 3ª Série da 236ª Emissão",2023-12-15,CRI
02.773.542/0001-22,23L2510336,Opea Securtizadora,Título de Dívida,Nota Comercial,179.0,Sênior | 1ª Série da 179ª Emissão e Subordinada | 2ª Série da 179ª Emissão,2023-12-21,CRI
02.773.542/0001-22,24A1828538,Opea Securtizadora,Créditos,Locação / Arrendamento / Superfície,152.0,Sênior | 1ª Série da 152ª Emissão,2024-01-12,CRI
02.773.542/0001-22,24C1360385,Opea Securtizadora,Título de Dívida,Debênture,227.0,Sênior | 1ª Série da 227ª Emissão,2024-03-01,CRI
02.773.542/0001-22,24K2221808,Opea Securtizadora,Título de Dívida,Nota Comercial,285.0,Sênior | 1ª Série da 285ª Emissão,2024-11-22,CRI
02.773.542/0001-22,24L2323039,Opea Securtizadora,Créditos,Outros,289.0,Sênior | 1ª Série da 289ª Emissão,2024-12-13,CRI
02.773.542/0001-22,25B2690608,Opea Securtizadora,Créditos,Compra e Venda,405.0,Sênior | 1ª Série da 405ª Emissão,2025-02-14,CRI
02.773.542/0001-22,25D0013888,Opea Securtizadora,Créditos,Locação,428.0,"Sênior | 1ª Série da 428ª Emissão,",2025-04-02,CRI
02.773.542/0001-22,BRAPCECRI028,Opea Securtizadora,Título de Dívida,CCI - Locação / Arrendamento / Superfície,1.0,1ª Emissão,2017-09-20,CRI
02.773.542/0001-22,BRAPCECRI028,OPEA Securitizadora S.A.,Créditos,Locação,1.0,1ª Emissão de CRI,2017-09-20,CRI
02.773.542/0001-22,BRAPCECRI028,OPEA SECURITIZADORA S.A.,Créditos,CCI - Compra e Venda,1.0,106,2017-09-20,CRI
02.773.542/0001-22,BRAPCECRI028,OPEA Securitizadora S.A.,Título de Dívida,Locação,1.0,1ª Emissão de CRI,2017-09-20,CRI
02.773.542/0001-22,BRAPCECRI028,OPEA Securitizadora S.A.,Título de Dívida,Locaçao,1.0,1ª Emissao de CRI,2017-09-20,CRI
02.773.542/0001-22,BRAPCSCRI036,Opea Securtizadora,Título de Dívida,CCI - Compra e Venda,1.0,1ª Emissão,2013-03-28,CRI
02.773.542/0001-22,BRAPCSCRI077,OPEA Securitizadora S.A.,Créditos,Locação,1.0,1ª Emissão de CRI,2013-08-14,CRI
02.773.542/0001-22,BRAPCSCRI0C9,OPEA SECURITIZADORA S.A.,Título de Dívida,CCI - Compra e Venda,1.0,1ª Emissão,2013-10-02,CRI
02.773.542/0001-22,BRAPCSCRI0C9,OPEA Securitizadora S.A.,Créditos,Compra e Venda,1.0,1ª Emissão de CRI,2013-10-02,CRI
02.773.542/0001-22,BRAPCSCRI0C9,OPEA Securitizadora S.A.,Título de Dívida,Compra e Venda,1.0,1ª Emissão de CRI,2013-10-02,CRI
02.773.542/0001-22,BRAPCSCRI0C9,OPEA Securitizadora S.A.,Título de Dívida,Compra e Venda,1.0,1ª Emissao de CRI,2013-10-02,CRI
02.773.542/0001-22,BRAPCSCRI0H8,OPEA Securitizadora S.A.,Créditos,Compra e Venda,1.0,1ª Emissão de CRI,2013-11-29,CRI
02.773.542/0001-22,BRAPCSCRI0I6,OPEA SECURITIZADORA S.A,Título de Dívida,CCI - CCB,1.0,1ª Emissão,2013-12-06,CRI
02.773.542/0001-22,BRAPCSCRI0K2,OPEA Securitizadora S.A.,Créditos,Cédula de Crédito Bancário,1.0,1ª Emissão de CRI,2014-03-11,CRI
02.773.542/0001-22,BRAPCSCRI0K2,OPEA Securitizadora S.A.,Título de Dívida,Cédula de Crédito Bancário,1.0,1ª Emissão de CRI,2014-03-11,CRI
02.773.542/0001-22,BRAPCSCRI0K2,OPEA Securitizadora S.A.,Título de Dívida,Cédula de Crédito Bancário,1.0,1ª Emissao de CRI,2014-03-11,CRI
02.773.542/0001-22,BRAPCSCRI0U1,OPEA Securitizadora S.A.,Créditos,Cédula de Crédito Bancário,1.0,1ª Emissão de CRI,2014-08-11,CRI
02.773.542/0001-22,BRAPCSCRI0U1,OPEA Securitizadora S.A.,Título de Dívida,Cédula de Crédito Bancário,1.0,1ª Emissão de CRI,2014-08-11,CRI
02.773.542/0001-22,BRAPCSCRI0U1,OPEA Securitizadora S.A.,Título de Dívida,Cédula de Crédito Bancário,1.0,1ª Emissao de CRI,2014-08-11,CRI
02.773.542/0001-22,BRAPCSCRI0V9,OPEA SECURITIZADORA S.A.,Título de Dívida,CCI - CCB,1.0,1ª Emissão,2014-06-30,CRI
02.773.542/0001-22,BRAPCSCRI168,OPEA Securitizadora S.A.,Créditos,Locação,1.0,1ª Emissão de CRI,2014-12-19,CRI
02.773.542/0001-22,BRAPCSCRI192,OPEA Securitizadora S.A.,Créditos,Cédula de Crédito Bancário,1.0,1ª Emissão de CRI,2015-01-13,CRI
02.773.542/0001-22,BRAPCSCRI192,OPEA Securitizadora S.A.,Título de Dívida,Cédula de Crédito Bancário,1.0,1ª Emissão de CRI,2015-01-13,CRI
02.773.542/0001-22,BRAPCSCRI192,OPEA Securitizadora S.A.,Título de Dívida,Cédula de Crédito Bancário,1.0,1ª Emissao de CRI,2015-01-13,CRI
02.773.542/0001-22,BRAPCSCRI1E3,OPEA SECURITIZADORA S.A.,Título de Dívida,CCI - CCB,1.0,1ª Emissão,2015-05-27,CRI
02.773.542/0001-22,BRAPCSCRI1G8,Opea Securtizadora,Créditos,CCI - Compra e Venda,1.0,1ª Emissão,2015-03-25,CRI
02.773.542/0001-22,BRAPCSCRI1G8,OPEA SECURITIZADORA S.A.,Créditos,CCI - Compra e Venda,1.0,1ª Emissão,2015-03-25,CRI
02.773.542/0001-22,BRAPCSCRI1G8,OPEA Securitizadora S.A.,Créditos,Compra e Venda,1.0,1ª Emissão de CRI,2015-03-25,CRI
02.773.542/0001-22,BRAPCSCRI1M6,Opea Securtizadora,Título de Dívida,CCI - Locação / Arrendamento / Superfície,1.0,1ª Emissão,2015-08-13,CRI
02.773.542/0001-22,BRAPCSCRI1M6,OPEA SECURITIZADORA S.A.,Título de Dívida,cci/Locação,1.0,1ª Emissão,2015-08-13,CRI
02.773.542/0001-22,BRAPCSCRI1M6,OPEA Securitizadora S.A.,Créditos,Locação,1.0,1ª Emissão de CRI,2015-08-13,CRI
02.773.542/0001-22,BRAPCSCRI1M6,OPEA Securitizadora S.A.,Título de Dívida,Locação,1.0,1ª Emissão de CRI,2015-08-13,CRI
02.773.542/0001-22,BRAPCSCRI1U9,OPEA Securitizadora S.A.,Créditos,Financiamento Imobiliário,1.0,1ª Emissão de CRI,2015-12-09,CRI
02.773.542/0001-22,BRAPCSCRI1U9,OPEA Securitizadora S.A.,Título de Dívida,Financiamento Imobiliário,1.0,1ª Emissão de CRI,2015-12-09,CRI
02.773.542/0001-22,BRAPCSCRI1U9,OPEA Securitizadora S.A.,Título de Dívida,Financiamento Imobiliário,1.0,1ª Emissao de CRI,2015-12-09,CRI
02.773.542/0001-22,BRAPCSCRI1V7,OPEA SECURITIZADORA S.A.,Título de Dívida,CCI - CCB,1.0,1ª Emissão,2015-12-15,CRI
02.773.542/0001-22,BRAPCSCRI1W5,OPEA Securitizadora S.A.,Créditos,Locação,1.0,1ª Emissão de CRI,2015-12-16,CRI
02.773.542/0001-22,BRAPCSCRI1W5,OPEA Securitizadora S.A.,Título de Dívida,Locação,1.0,1ª Emissão de CRI,2015-12-16,CRI
02.773.542/0001-22,BRAPCSCRI1W5,OPEA Securitizadora S.A.,Título de Dívida,Locaçao,1.0,1ª Emissao de CRI,2015-12-16,CRI
02.773.542/0001-22,BRAPCSCRI1Z8,OPEA Securitizadora S.A.,Créditos,Locação,1.0,1ª Emissão de CRI,2016-09-14,CRI
02.773.542/0001-22,BRAPCSCRI1Z8,OPEA Securitizadora S.A.,Título de Dívida,Locação,1.0,1ª Emissão de CRI,2016-09-14,CRI
02.773.542/0001-22,BRAPCSCRI1Z8,OPEA Securitizadora S.A.,Título de Dívida,Locaçao,1.0,1ª Emissao de CRI,2016-09-14,CRI
02.773.542/0001-22,BRAPCSCRI2A9,OPEA Securitizadora S.A.,Créditos,Compra e Venda,1.0,1ª Emissão de CRI,2016-12-16,CRI
02.773.542/0001-22,BRAPCSCRI2A9,OPEA Securitizadora S.A.,Créditos,Compra e Venda,1.0,1ª Emissao de CRI,2016-12-16,CRI
02.773.542/0001-22,BRAPCSCRI2C5,Opea Securtizadora,Título de Dívida,CCI - Locação / Arrendamento / Superfície,1.0,1ª Emissão,2017-02-08,CRI
02.773.542/0001-22,BRAPCSCRI2C5,OPEA Securitizadora S.A.,Créditos,Locação,1.0,1ª Emissão de CRI,2017-02-08,CRI
02.773.542/0001-22,BRAPCSCRI2C5,OPEA Securitizadora S.A.,Título de Dívida,Locação,1.0,1ª Emissão de CRI,2017-02-08,CRI
02.773.542/0001-22,BRAPCSCRI2C5,OPEA Securitizadora S.A.,Título de Dívida,Locaçao,1.0,1ª Emissao de CRI,2017-02-08,CRI
02.773.542/0001-22,BRAPCSCRI2D3,Opea Securitizadora S.A.,Título de Dívida,CCI - Locação / Arrendamento / Superfície,1.0,1ª Emissão,2017-02-08,CRI
02.773.542/0001-22,BRAPCSCRI2D3,OPEA Securitizadora S.A.,Créditos,Locação,1.0,1ª Emissão de CRI,2017-02-08,CRI
02.773.542/0001-22,BRAPCSCRI2D3,OPEA Securitizadora S.A.,Título de Dívida,Locação,1.0,1ª Emissão de CRI,2017-02-08,CRI
02.773.542/0001-22,BRAPCSCRI2D3,OPEA Securitizadora S.A.,Título de Dívida,Locaçao,1.0,1ª Emissao de CRI,2017-02-08,CRI
02.773.542/0001-22,BRAPCSCRI2V5,OPEA Securitizadora S.A.,Créditos,Locação,1.0,1ª Emissão de CRI,2017-08-16,CRI
02.773.542/0001-22,BRAPCSCRI2V5,OPEA Securitizadora S.A.,Título de Dívida,Locação,1.0,1ª Emissão de CRI,2017-08-16,CRI
02.773.542/0001-22,BRAPCSCRI2V5,OPEA Securitizadora S.A.,Título de Dívida,Locaçao,1.0,1ª Emissao de CRI,2017-08-16,CRI
02.773.542/0001-22,BRAPCSCRI2W3,OPEA Securitizadora S.A.,Créditos,Debênture,1.0,1ª Emissão de CRI,2017-08-22,CRI
02.773.542/0001-22,BRAPCSCRI2W3,OPEA Securitizadora S.A.,Título de Dívida,Debênture,1.0,1ª Emissão de CRI,2017-08-22,CRI
02.773.542/0001-22,BRAPCSCRI2W3,OPEA Securitizadora S.A.,Título de Dívida,Debênture,1.0,1ª Emissao de CRI,2017-08-22,CRI
02.773.542/0001-22,BRAPCSCRI2X1,OPEA Securitizadora S.A.,Créditos,Compra e Venda,1.0,1ª Emissão de CRI,2017-08-25,CRI
02.773.542/0001-22,BRAPCSCRI2X1,OPEA Securitizadora S.A.,Créditos,Compra e Venda,1.0,1ª Emissao de CRI,2017-08-25,CRI
02.773.542/0001-22,BRAPCSCRI358,OPEA Securitizadora S.A.,Créditos,Compra e Venda,1.0,1ª Emissão de CRI,2017-12-28,CRI
02.773.542/0001-22,BRAPCSCRI358,OPEA Securitizadora S.A.,Créditos,Compra e Venda,1.0,1ª Emissao de CRI,2017-12-28,CRI
02.773.542/0001-22,BRAPCSCRI382,Opea Securtizadora,Título de Dívida,CCI - Locação / Arrendamento / Superfície,1.0,1ª Emissão,2018-03-05,CRI
02.773.542/0001-22,BRAPCSCRI382,OPEA Securitizadora S.A.,Créditos,Locação,1.0,1ª Emissão de CRI,2018-03-05,CRI
02.773.542/0001-22,BRAPCSCRI382,OPEA Securitizadora S.A.,Título de Dívida,Locação,1.0,1ª Emissão de CRI,2018-03-05,CRI
02.773.542/0001-22,BRAPCSCRI382,OPEA Securitizadora S.A.,Título de Dívida,Locaçao,1.0,1ª Emissao de CRI,2018-03-05,CRI
02.773.542/0001-22,BRAPCSCRI3D1,OPEA Securitizadora S.A.,Créditos,Debênture,1.0,1ª Emissão de CRI,2018-08-14,CRI
